g,1.5,2,2.5,3,4,5,6
40x30,2.25,3,3.75,6,0,0,0
45x20,2.25,3,3.75,6,0,0,0
45x25,2.25,3,3.75,6,0,0,0
45x35,2.25,3,3.75,6,0,0,0
50x20,2.25,3,3.75,6,0,0,0
50x25,2.25,3,3.75,6,0,0,0
50x30,2.25,3,3.75,6,8,0,0
50x40,2.25,3,3.75,6,8,0,0
55x25,2.25,3,3.75,6,8,0,0
55x35,2.25,3,3.75,6,8,0,0
55x40,2.25,3,3.75,6,8,0,0
60x20,2.25,3,3.75,6,8,0,0
60x30,2.25,3,3.75,6,8,0,0
60x35,2.25,3,3.75,6,8,0,0
60x40,2.25,3,3.75,6,8,0,0
60x50,2.25,3,3.75,6,8,0,0
70x20,2.25,3,3.75,6,8,0,0
70x25,2.25,3,3.75,6,8,0,0
70x30,0,3,3.75,6,8,0,0
70x40,0,3,3.75,6,8,0,0
70x50,0,3,3.75,6,8,0,0
70x60,0,3,3.75,6,8,0,0
80x20,0,3,3.75,6,8,0,0
80x30,0,3,3.75,6,8,0,0
80x40,0,3,3.75,6,8,10,0
80x50,0,3,3.75,6,8,10,0
80x60,0,3,3.75,6,8,10,0
80x70,0,3,3.75,6,8,10,0
90x30,0,3,3.75,6,8,10,0
90x40,0,3,3.75,6,8,10,0
90x50,0,3,3.75,6,8,10,0
90x60,0,3,3.75,6,8,10,0
90x70,0,3,3.75,6,8,10,0
100x30,0,3,3.75,6,8,10,0
100x40,0,3,3.75,6,8,10,0
100x50,0,0,3.75,6,8,10,0
100x60,0,0,3.75,6,8,10,0
100x70,0,0,3.75,6,8,10,0
100x80,0,0,3.75,6,8,10,0
110x30,0,0,3.75,6,8,10,12
110x40,0,0,3.75,6,8,10,12
110x60,0,0,3.75,6,8,10,12
110x70,0,0,3.75,6,8,10,12
120x40,0,0,3.75,6,8,10,12
120x50,0,0,3.75,6,8,10,12
120x60,0,0,3.75,6,8,10,12
120x80,0,0,3.75,6,8,10,12
120x90,0,0,0,6,8,10,12
120x100,0,0,0,6,8,10,12
140x40,0,0,0,6,8,10,12
140x50,0,0,0,6,8,10,12
140x60,0,0,0,6,8,10,12
140x70,0,0,0,6,8,10,12
140x80,0,0,0,6,8,10,12
140x100,0,0,0,6,8,10,12
150x40,0,0,0,6,8,10,12
150x50,0,0,0,6,8,10,12
150x60,0,0,0,6,8,10,12
150x70,0,0,0,6,8,10,12
150x100,0,0,0,6,8,10,12
160x60,0,0,0,6,8,10,12
160x80,0,0,0,6,8,10,12
160x120,0,0,0,6,8,10,12
180x100,0,0,0,6,8,10,12
200x80,0,0,0,6,8,10,12
200x100,0,0,0,6,8,10,12